objectid,title,creator,date,description,subject,exhibition,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,ig_link
coll011,Life-Saving Clove,,,"On July 29, 1521 the Armada’s 2 ships escaped from Borneo! They feared being trapped and captured several Bornean trading junks. On one was Siripada’s captain-general feared throughout the region. He was the “son of the King of Luzon” and got away with the junks by bribing with gold the Armada’s new commander Johan Carvalho who was replaced subsequently. The prince would have been Muslim. The only Muslim community spotted by the Armada in Philippine waters was at Cagayan Island: a small population banished from Borneo. The Bornean experience served them well when they finally reached the Moluccas. On November 8, 1521 they entered the harbor of one Spice Island, Tidore. Its ruler Rajah Sultan Manzor became their patron. He filled the ships with clove, provided guides who knew the Laut Chidol (South Sea), and helped provision the Armada for its trip back to Spain. (To be continued) ctto Syzygium aromaticum. Clove. Franz Eugene Köhler. 1897. Wikimedia public domain.",Armada de Maluco; Borneo,Magellan Menu,,,Syzygium aromaticum. Clove. Franz Eugene Köhler. 1897.,,Image;Still Image,image/jpeg,,public domain,https://creativecommons.org/publicdomain/mark/1.0/,image,https://lh3.googleusercontent.com/d/1aU7gZavNpESL2tuwWmLUI1l34xfgch93,https://lh3.googleusercontent.com/d/1aU7gZavNpESL2tuwWmLUI1l34xfgch93,https://lh3.googleusercontent.com/d/1aU7gZavNpESL2tuwWmLUI1l34xfgch93,https://www.instagram.com/p/CNjBAvbnlaC/
coll012,Insular Asian Foods,,,"Pigafetta and the men of the Armada expanded their tastes of Insular Southeast Asian foods while loading clove at Tidore Island. Its leader Rajah-Sultan Manzor became their patron. Pigafetta learned of labu (possibly a wild cucumber), calama (rhubarb), itich (gander), ansa (goose). At Buru (the third largest island of the Moluccas) he recorded chanali (a delicacy of banana, Javanese almond and honey wrapped in leaves). Back in Tidore, Pigafetta discovered “wooden bread”. It was the sole (or principal) provision of island sailors he explained. He described it as made of “soft wood,” actually the pith of a palm covered in thorns. The soft wood was also known as saghu. There is no mention if wooden bread would be carried on the journey to Spain. There was no sea biscuit, the hard and double baked wheat bread that European mariners depended on. Their expedition had been teaching them about Asian food, psyche, and social relations. ctto Commemorative Lapulapu medal minted by the Philippine Central Bank.",Antonio Pigafetta; Rajah-Sultan Manzor; Tidore Island,Magellan Menu,,,Commemorative Lapulapu medal minted by the Philippine Central Bank.,,Image;Still Image,image/jpeg,,,,image,https://lh3.googleusercontent.com/d/1R_6t5FCUTH_dmPCOFXuKR94M9whX3ZXr,https://lh3.googleusercontent.com/d/1R_6t5FCUTH_dmPCOFXuKR94M9whX3ZXr,https://lh3.googleusercontent.com/d/1R_6t5FCUTH_dmPCOFXuKR94M9whX3ZXr,https://www.instagram.com/p/CN1YKphHtS4/
coll013,Extreme Hunger Notwithstanding,,,"In preparation for the trip to Seville, the 2 ships stocked bamboo tubes taller than a person filled with drinking water. They may have had goats, but certainly no pork since they were in an Islamic sultanate. Maybe they carried unripe bananas, coconuts, rice, sagho, dried fish. Only the Victoria would continue on. The Trinidad, suddenly leaking badly, would attempt to retrace the Pacific and South American route after making repairs. Meanwhile, the winds were favourable to sail west. On February 11, 1522 Victoria left Timor, the last island with fresh supplies. As they crossed from the South Sea to Africa, as Pigafetta wrote: because they had no salt their food putrified. If Portuguese spotted them, their clove and maps would be confiscated. They would all be taken prisoners. After 9 weeks rounding the Cape of Good Hope in tempestuous seas they reached the Atlantic Ocean. They had broken a mast and were leaking. Being in waters where it was legal for them, they stopped at a Portuguese port on Cape Verde Islands for food feigning they had been exploring Spanish America and were heading home. The ruse worked but not for long. Leaving 13 of their men still ashore, Elcano and all who had remained aboard sailed off to avoid the Portuguese sure to give chase. When the Victoria reached Spain on September 6, 1522 only 18 of the 237 original crew who began the trip on August 10, 1519 were alive. Of the 13 natives from Tidore who helped navigate only 4 made it. Sebastian Elcano, a Basque native, had brought the Victoria home. They had completed the first circumnavigation against all odds: an unknown route, bad weather, mutiny, warring natives, fear of the unknown, sickness, and prolonged hunger. Humanity was victorious. ctto Commemorative coin featuring the Victoria.",Victoria; Trinidad; Antonio Pigafetta; Sebastian Elcano,Magellan Menu,,,Commemorative coin featuring the Victoria.,,Image;Still Image,image/jpeg,,,,image,https://lh3.googleusercontent.com/d/1zyki2UmHyYzdrnB-_B3I0Ir-yZiC2pXy,https://lh3.googleusercontent.com/d/1zyki2UmHyYzdrnB-_B3I0Ir-yZiC2pXy,https://lh3.googleusercontent.com/d/1zyki2UmHyYzdrnB-_B3I0Ir-yZiC2pXy,https://www.instagram.com/p/CN3lbT1HfBf/
coll014,Fake Face,,,Le voyage et navigation and Primo viaggio intorno al mondo are Antonio Pigafetta’s first-person accounts of the first circumnavigation from 1519 to 1522.  He was one of only 18 survivors from an original group of around 237 men headed by Ferdinand Magellan.  Pigafetta’s book includes the first narrative about Philippine gastronomy during the Renaissance and before Spain colonized the Philippines. That portrait has been cited as Pigafetta for scores.  But it is another Pigafetta who was born two years after Antonio died.,Antonio Pigafetta,Magellan Menu,,,"Antonio Pigafetta, Primo viaggio intorno al mondo in The Philippine Islands: 1493-1898.  Emma Helen Blair and James Alexander Robertson, editors. (Mandaluyong: Cacho Hermanos, Inc., 1973) Volume 33: 25-367 and Volume 34:37-180.  The original Italian transcript is at the Biblioteca Ambrosiana in Milan, Italy.  James Alexander Robertson translated it into English.  Both versions are published side by side.",,Image;Still Image,image/jpeg,,,,image,https://lh3.googleusercontent.com/d/1AhZVqljMU7oMBLRg1-w-UFMtIs3bGKzK,https://lh3.googleusercontent.com/d/1AhZVqljMU7oMBLRg1-w-UFMtIs3bGKzK,https://lh3.googleusercontent.com/d/1AhZVqljMU7oMBLRg1-w-UFMtIs3bGKzK,https://www.instagram.com/p/B2xiwdxHp0-/
coll015,When Bread Meant Rice Cake,,,"Tinapay, today’s Filipino word for wheat bread, originally meant “a certain kind of rice cake.” We owe that fact to Pigafetta who in 1521 listed words in the Cebuano area and their meanings. He did not describe tinapay so no one knows what it really was. Did he not encounter other rice cakes, what we call kakanin now? Missionaries of the later 1500s used tinapay as the word for host when explaining it to new native converts. In the 1800s, tinapay was described by the Recollect priest Juan Felix De Encarnación as a flour circle with a sweet filling that was folded in half to resemble the moon. Perhaps because it resembled the circular host, tinapay was selected by pioneering missionaries. They also used tinapay for wheat bread when referring to miracles of Jesus Christ such as feeding a multitude with just a few fish and bread loaves. Filipinos did not know wheat or wheat bread at the time. They were brought by the Spanish. Later “hostia” was introduced as the word for host; tinapay stayed as generic for wheat bread. Many words around the world change meanings in small and big ways.",Bread; Pan,Magellan Menu,,,,,Image;Still Image,image/jpeg,,,,image,https://lh3.googleusercontent.com/d/1_0AM9OfDMEEoeEGDfNNcQ1TCXrwHIPXG,https://lh3.googleusercontent.com/d/1_0AM9OfDMEEoeEGDfNNcQ1TCXrwHIPXG,https://lh3.googleusercontent.com/d/1_0AM9OfDMEEoeEGDfNNcQ1TCXrwHIPXG,https://www.instagram.com/p/B3YIpd2nAJm/
coll016,Where did Pigafetta Discover Millet in the Philippines?,,,"In 1521 Pigafetta recorded that miglio (millet in Italian) was called HUMAS at the Visayan island of Mazaua where food included citrus, rice, coconut, and more. While Limasawa in southern Leyte is considered to be Mazaua, a case has been made that it might actually have been Masao, in the Caraga area of Mindanao! Historians are debating the evidence again. Millet was likely the fall-back cereal during drought when rice would not grow. Today humas is better known as KABOG, actually the word for fruit bat. It seems fruit bats eat millet and in northern Cebu’s town of Catmon, rice cake of millet is called BUDBUD KABOG. There is even an annual budbud kabog festival every February 10. Enterprises like the one noted in the photo can sell Cebu’s culinary legacy to the delight of an increasing market. This is the 11th in my IG series about Pinoy food discovered during the Magallanes voyage, 1519-1522.",Budbud; HUMAS; Kabog,Magellan Menu,,,Flickr.com,,Image;Still Image,image/jpeg,,public domain,https://creativecommons.org/publicdomain/mark/1.0/,image,https://lh3.googleusercontent.com/d/1298MJc4d43IsM3glmitQOmoQzqaRu22L,https://lh3.googleusercontent.com/d/1298MJc4d43IsM3glmitQOmoQzqaRu22L,https://lh3.googleusercontent.com/d/1298MJc4d43IsM3glmitQOmoQzqaRu22L,https://www.instagram.com/p/B3bnBpOnKWP/
coll017,Ferdinand Magellan,,,"This was originally posted on Instagram on October 11, 2019: Follow my series about Philippine food history during the first circumnavigation, 1519-1522. #foodiehistorya #magellanmenu @felicepstamaria Portrait of Fernando Magallanes. CTTO 16th or 17th century. Mariners’ Museum. Newport News (VA)",Fernando Magallanes,Magellan Menu,,,"Danilo Madrid Gerona. Ferdinand Magellan: The Armada de Maluco and the European Discovery of the Philippines (Philippines: Spanosh Galleon Publisher, 2016).  This one of the recent biographies about the explorer Ferdinand Magellan.  It is written by a Filipino historian who used primary sources in Spanish and Portuguese archives, some of which had not been noticed before by other authors.",,Image;Still Image,image/jpeg,,,,image,https://lh3.googleusercontent.com/d/1eGHZLyMUUhCbI8zVwleDvGqCc8bChqZb,https://lh3.googleusercontent.com/d/1eGHZLyMUUhCbI8zVwleDvGqCc8bChqZb,https://lh3.googleusercontent.com/d/1eGHZLyMUUhCbI8zVwleDvGqCc8bChqZb,https://www.instagram.com/p/B3e4SaHnDpW/
coll018,Lefty Fist Power 1521,,,"On March 29 of that year, Pigafetta dined with a Visayan king. With every mouthful of cooked pork, one had to drink wine. The king showed the custom: raise clasped hands toward the sky, then toward one’s drinking companion; take the filled cup in the right hand; extend the fist of the left hand to the companion as if to strike him; then drink. Everyone made the customary signs to one another when drinking. They were considered a ceremony of friendship. What did the clenched fist mean then? The power fist, although used since the 19th century by liberation groups, became popular only after 1948 when Taller de Grafica Popular, a printing shop in Mexico, advanced it as an artistic revolutionary symbol.",Visayan King; Pigafetta; Ceremony,Magellan Menu,,,Power Fist by Keith Tyler,,Image;Still Image,image/jpeg,,,,image,https://lh3.googleusercontent.com/d/1BUW9ff4xUdyaIn3z3K4-9OB8aoRNEk0i,https://lh3.googleusercontent.com/d/1BUW9ff4xUdyaIn3z3K4-9OB8aoRNEk0i,https://lh3.googleusercontent.com/d/1BUW9ff4xUdyaIn3z3K4-9OB8aoRNEk0i,https://www.instagram.com/p/B3jsFRdn_GX/
coll019,Beach Eggs 50-70% Yolk,,,"Magellan’s men arrived during the breeding season of the Megapodius cumingii — better known as the big-footed TABON bird. Pigafetta saw them on Gatighan Island seemingly near Leyte. They are terrestrial like chicken, but are black with a long tail. They do not incubate their eggs but bury them in sun-warmed sand. Chicks have strong claws to help them leave their shells. Pigafetta wrote: TABON eggs were known to be good food. They inhabit mangrove and beach forests, roosting on trees at night. The cumingii is common to the Philippines, Borneo, Sulawesi. But if the eggs are eaten, the bird might get extinct!",Cumingii; Tabon bird,Magellan Menu,,,Fr. Francisco Ignacio Alcina’s 9 volumes about Visayan culture published in 1668.,,Image;Still Image,image/jpeg,,,,image,https://lh3.googleusercontent.com/d/1MYmTeaJnxRDoIHz75xWip-nRVFiKxVYa,https://lh3.googleusercontent.com/d/1MYmTeaJnxRDoIHz75xWip-nRVFiKxVYa,https://lh3.googleusercontent.com/d/1MYmTeaJnxRDoIHz75xWip-nRVFiKxVYa,https://www.instagram.com/p/B3mVcSjnA1d/
coll020,The 6-Hour Meal,,,"Magellan had Pigafetta bring gifts to the King of Cebu on Tuesday, April 9, 1521. The King shared his fare that was not dinner: turtle eggs served on two porcelain dishes accompanied by four jars full of palm wine covered with sweet-smelling herbs. Each jar had four small reed straws from which he drank. Pigafetta wrote that his co-crew were always invited by the Cebuanos to eat and drink with them, whether day or night. “Their viands are half cooked and very salty. They drink frequently and copiously from the jars through those small reeds,” Pigafetta wrote. He added, “and one meal lasts for five to six hours.” The straws were eco-friendly and could be among the alternatives to plastic straws that started overtaking paper and glass straws in the 1960s. Some historians refer to the 20th century as the Plastic Age.",Straw; King of Cebu; Cebu; Jar,Magellan Menu,,,,,Image;Still Image,image/jpeg,,,,image,https://lh3.googleusercontent.com/d/1GoAuxET99UTNgbXqiilJ88hpOAbjvgae,https://lh3.googleusercontent.com/d/1GoAuxET99UTNgbXqiilJ88hpOAbjvgae,https://lh3.googleusercontent.com/d/1GoAuxET99UTNgbXqiilJ88hpOAbjvgae,https://www.instagram.com/p/B3rlNH2HViY/
coll021,Traitor’s Birthplace?,,,"When Fernando Magallanes left his birthplace of Sabrosa town in the district of Villa Real of northern Portugal, and became a Spanish citizen he was branded a traitor to Portugal. Worse was that he belonged to the minor nobility, and while young had dwelt in the Lisbon palace as a page to Portuguese Princess Leonor de Viseu. He had distinguished himself in the Portuguese military and maritime service, even reaching Malacca under Alfonso d’Albuquerque who sought to expand the Portuguese empire. Magallanes was no stranger to Asia when he got to the Philippines in 1521. He would have known bananas, coconuts, and other foods that a European crew could live on when food loaded in Spain ran out. Pigafetta had never been to insular Southeast Asia and was so curious about the foreign food and culture he found. Magellan’s birthplace.",Fernando Magallanes; birthplace; Portugal; Villa Real; Sabrosa,Magellan Menu,,,"Quincy Castillo, Camera Club of the PHILIPPINES.",,Image;Still Image,image/jpeg,,,,image,https://lh3.googleusercontent.com/d/16i1_jF0p2S7v_x2GE09uhIsZqrrLt0op,https://lh3.googleusercontent.com/d/16i1_jF0p2S7v_x2GE09uhIsZqrrLt0op,https://lh3.googleusercontent.com/d/16i1_jF0p2S7v_x2GE09uhIsZqrrLt0op,https://www.instagram.com/p/B3wBHF_nF0y/
